lead_id,activity_timestamp,activity_value,points
110,2020-03-14,DataSec Inactive User Tracker,8
111,2020-01-20,Free Community Edition: DataSec Auditor for VMware: Free Community Edition,15
112,2020-11-09,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
113,2020-08-08,Webinar Registration: Get on Top of Active Directory Certificate Services and Stay There,5
113,2020-08-14,Webinar Attendance: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,10
114,2021-03-25,Get a Demo: DataSec Auditor for Windows File Servers,40
115,2020-06-09,Launch In-Browser Demo: DataSec Classification for NetApp,15
116,2020-04-07,Launch In-Browser Demo: DataSec Auditor for Exchange,15
117,2020-02-13,Launch In-Browser Demo: DataSec Auditor for Nutanix Files,15
118,2021-06-22,DataSec Account Lockout Examiner,8
118,2021-06-26,DataSec Event Log Manager,8
119,2020-06-02,Request a Quote: DataSec Auditor for Windows File Servers,40
119,2020-06-06,DataSec Account Lockout Examiner,8
120,2021-03-18,Request a Quote: DataSec Auditor for Windows Server,40
121,2020-01-17,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
122,2020-08-13,Request a Quote: DataSec Auditor for Windows Server,40
122,2020-08-26,Get a Demo: DataSec Auditor for Active Directory,40
122,2020-09-05,Ebook: Defending Against Crypto-Ransomware,2
123,2021-02-10,Launch In-Browser Demo: DataSec Classification for NetApp,15
124,2021-02-04,White Paper: Insider Threat Detection Fundamentals,2
124,2021-02-10,Free Trial: DataSec Auditor for Windows Server,40
125,2021-04-30,White Paper: Active Directory Security Best Practices,2
125,2021-05-11,Request a Quote: DataSec Auditor for Windows File Servers,40
126,2020-03-25,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
126,2020-04-13,Ebook: Password Policy Best Practices,2
127,2021-01-25,Request a Quote: DataSec Auditor for Exchange,40
128,2021-05-22,DataSec Event Log Manager,8
128,2021-05-23,DataSec Inactive User Tracker,8
129,2020-03-25,Get a Demo: DataSec Classification for Windows File Servers,40
130,2020-04-14,Get a Demo: DataSec Auditor for Oracle Database,40
131,2021-06-24,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
132,2020-07-01,Ebook: Windows Server Hardening Guide,2
132,2020-07-10,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
132,2020-07-26,Free Trial: DataSec Classification for Nutanix Files,40
132,2020-08-13,Request a Quote: DataSec Auditor for SQL Server,40
133,2021-05-25,Ebook: Privileged Access Management Fundamentals,2
133,2021-06-01,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
134,2020-08-17,Request a Quote: DataSec Auditor for Active Directory,40
135,2020-04-09,Ebook: Privileged Access Management Fundamentals,2
135,2020-04-16,Get a Demo: DataSec Auditor for Windows Server,40
136,2021-05-17,Get a Demo: DataSec Auditor for Windows Server,40
137,2021-07-01,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
138,2021-04-26,Launch In-Browser Demo: DataSec Auditor for SharePoint,15
139,2020-08-30,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
140,2021-03-13,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
140,2021-03-22,White Paper: A Practical Guide to GDPR Compliance,2
141,2020-03-25,Launch In-Browser Demo: DataSec Auditor for NetApp,15
142,2020-02-28,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
143,2021-01-11,Free Trial: DataSec Classification for Azure Files,40
144,2020-04-14,Get a Demo: DataSec Auditor for Microsoft 365,40
144,2020-04-17,White Paper: Active Directory Security Best Practices,2
145,2021-04-06,Get a Demo: DataSec Auditor for Qumulo,40
146,2020-06-10,Launch In-Browser Demo: DataSec Classification for NetApp,15
147,2021-05-04,"Webinar Registration: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",5
147,2021-05-05,Launch In-Browser Demo: DataSec Classification for NetApp,15
148,2021-04-06,Webinar Registration: World Password Day: You Still Have Passwords. Now What?,5
148,2021-04-19,Launch In-Browser Demo: DataSec Auditor for Synology,15
149,2020-09-28,Free Trial: DataSec Auditor for Microsoft 365,40
150,2021-06-24,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
151,2020-09-21,DataSec Inactive User Tracker,8
151,2020-09-25,Webinar Registration: PAM Roadmap: Key Strategies for Effective Deployment and Team Engagement,5
151,2020-09-30,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
152,2021-05-08,Webinar Registration: Get on Top of Active Directory Certificate Services and Stay There,5
152,2021-05-18,DataSec Service Monitor,8
152,2021-05-31,Get a Demo: DataSec Auditor for NetApp,40
153,2020-12-10,DataSec Password Expiration Notifier,8
153,2020-12-22,White Paper: Insider Threat Detection Fundamentals,2
154,2021-03-05,Webinar Attendance: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,10
155,2020-01-25,Get a Demo: DataSec Classification for SharePoint,40
156,2021-05-05,Get a Demo: DataSec Classification for NetApp,40
157,2020-02-18,Request a Quote: DataSec Auditor for VMware,40
158,2020-03-28,Launch In-Browser Demo: DataSec Classification for Windows File Servers,15
159,2020-01-09,Free Community Edition: DataSec Auditor for VMware: Free Community Edition,15
159,2020-01-14,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
160,2020-04-23,Request a Quote: DataSec Classification for Windows File Servers,40
160,2020-05-03,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
161,2020-12-09,Request a Quote: DataSec Auditor for Active Directory,40
162,2021-03-12,Free Trial: DataSec Auditor for Oracle Database,40
163,2020-07-09,DataSec Password Expiration Notifier,8
163,2020-07-17,DataSec Flashlight for NetSuite,8
164,2021-02-06,Request a Quote: DataSec Classification for NetApp,40
165,2020-02-07,"Webinar Attendance: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",10
166,2020-02-19,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
166,2020-02-27,Request a Quote: DataSec Auditor for Azure Files,40
167,2020-03-27,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
168,2020-11-14,Get a Demo: DataSec Classification for Synology,40
169,2021-01-20,Free Community Edition: DataSec Auditor for Network Devices: Free Community Edition,15
170,2021-04-25,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
171,2020-08-23,Get a Demo: DataSec Auditor for Windows File Servers,40
172,2021-06-06,Webinar Attendance: Mastering Endpoint Management with DataSec,10
173,2021-02-02,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
174,2020-01-21,Free Trial: DataSec Auditor for VMware,40
175,2020-01-19,Launch In-Browser Demo: DataSec Classification for Qumulo,15
176,2020-12-18,DataSec Disk Space Monitor,8
176,2020-12-31,Ebook: Password Policy Best Practices,2
177,2020-04-08,DataSec Account Lockout Examiner,8
177,2020-04-13,Webinar Registration: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,5
178,2021-06-10,White Paper: A Practical Guide to GDPR Compliance,2
178,2021-06-17,Webinar Attendance: Block Insider Threats Where They Start: At the Endpoint,10
179,2020-11-02,Free Trial: DataSec Auditor for SQL Server,40
180,2020-08-18,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
181,2020-12-29,Free Trial: DataSec Classification for Windows File Servers,40
182,2021-04-27,Free Community Edition: DataSec Auditor for Network Devices: Free Community Edition,15
183,2021-05-25,DataSec Disk Space Monitor,8
183,2021-06-07,Ebook: Password Policy Best Practices,2
184,2020-03-30,Ebook: Windows Server Hardening Guide,2
184,2020-04-04,Launch In-Browser Demo: DataSec Classification for Azure Files,15
185,2020-12-02,Get a Demo: DataSec Auditor for Oracle Database,40
186,2020-10-04,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
187,2020-07-18,Webinar Attendance: Block Insider Threats Where They Start: At the Endpoint,10
188,2020-03-22,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
189,2021-06-02,Free Trial: DataSec Auditor for Exchange,40
190,2020-10-21,White Paper: HIPAA Compliance for IT Auditors,2
190,2020-10-28,DataSec Flashlight for NetSuite,8
191,2020-04-19,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
192,2021-06-24,Ebook: Privileged Access Management Fundamentals,2
192,2021-06-25,White Paper: Insider Threat Detection Fundamentals,2
192,2021-06-26,DataSec Account Lockout Examiner,8
193,2021-05-07,White Paper: Preventing Data Loss - A DLP Primer,2
193,2021-05-16,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
194,2020-03-19,Launch In-Browser Demo: DataSec Auditor for Qumulo,15
195,2020-05-22,Webinar Registration: Active Directory Recommended Practices: Avoiding and Detecting Unintended Permission Changes,5
195,2020-05-28,Free Trial: DataSec Auditor for Windows Server,40
196,2020-10-05,Launch In-Browser Demo: DataSec Classification for SharePoint,15
197,2020-12-20,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
198,2021-03-12,Webinar Attendance: Windows Server Security Masterclass: Proactively Clearing Attack Surfaces,10
199,2020-08-21,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
200,2020-05-17,Ebook: Defending Against Crypto-Ransomware,2
200,2020-05-28,DataSec Inactive User Tracker,8
201,2020-10-21,Launch In-Browser Demo: DataSec Classification for SharePoint,15
202,2020-10-21,Free Trial: DataSec Auditor for Active Directory,40
203,2021-06-22,Free Trial: DataSec Auditor for Active Directory,40
204,2020-06-15,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
205,2020-05-28,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
206,2020-03-21,Free Community Edition: DataSec Auditor for NetApp: Free Community Edition,15
206,2020-04-02,Ebook: Privileged Access Management Fundamentals,2
206,2020-04-08,Free Community Edition: DataSec Auditor for Dell Data Storage: Free Community Edition,15
207,2020-12-17,Webinar Attendance: Discover and Secure Sensitive Data with DataSec Classification,10
208,2021-05-22,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
209,2020-01-05,Free Community Edition: DataSec Auditor for NetApp: Free Community Edition,15
210,2020-03-17,White Paper: PCI DSS Compliance Checklist for IT Teams,2
210,2020-03-25,White Paper: Preventing Data Loss - A DLP Primer,2
210,2020-03-28,DataSec Password Expiration Notifier,8
211,2020-04-03,Launch In-Browser Demo: DataSec Classification for SharePoint,15
212,2020-03-11,Free Trial: DataSec Classification for Dell Data Storage,40
213,2021-05-22,Webinar Attendance: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,10
214,2020-08-01,Free Trial: DataSec Auditor for Active Directory,40
214,2020-08-12,Webinar Attendance: Get on Top of Active Directory Certificate Services and Stay There,10
215,2020-09-17,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
216,2021-05-22,DataSec Disk Space Monitor,8
216,2021-05-26,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
217,2020-11-08,Webinar Registration: Identify and Reduce Risks Around Sensitive Data with DataSec Access Analyzer,5
217,2020-11-09,Free Trial: DataSec Auditor for SharePoint,40
217,2020-11-27,DataSec Effective Permissions Reporting Tool,8
218,2020-12-02,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
219,2021-06-21,Request a Quote: DataSec Classification for NetApp,40
219,2021-07-09,Free Community Edition: DataSec Auditor for Oracle Database: Free Community Edition,15
220,2020-12-04,Launch In-Browser Demo: DataSec Auditor for SQL Server,15
221,2021-01-06,Ebook: Password Policy Best Practices,2
221,2021-01-19,Get a Demo: DataSec Auditor for Active Directory,40
222,2020-10-18,Launch In-Browser Demo: DataSec Classification for NetApp,15
223,2021-02-25,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
224,2020-08-03,Webinar Attendance: Mastering Endpoint Management with DataSec,10
225,2021-01-06,Free Trial: DataSec Auditor for Microsoft 365,40
226,2020-04-06,Launch In-Browser Demo: DataSec Classification for Synology,15
227,2020-04-14,Webinar Registration: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,5
227,2020-04-23,Webinar Attendance: Ease the Burden of IT Auditing with DataSec Auditor,10
228,2021-02-16,Free Community Edition: DataSec Auditor for Active Directory: Free Community Edition,15
229,2020-10-20,Launch In-Browser Demo: DataSec Classification for SharePoint,15
229,2020-11-05,Webinar Registration: Enhance Your Data Loss Prevention Strategy with DataSec Endpoint Protector,5
230,2020-04-27,Get a Demo: DataSec Auditor for Active Directory,40
231,2020-09-14,DataSec Event Log Manager,8
231,2020-09-26,White Paper: Active Directory Security Best Practices,2
232,2020-03-30,White Paper: A Practical Guide to GDPR Compliance,2
232,2020-04-01,Ebook: Password Policy Best Practices,2
232,2020-04-07,Free Trial: DataSec Auditor for Oracle Database,40
233,2020-11-06,Get a Demo: DataSec Auditor for Windows File Servers,40
234,2020-12-03,Free Community Edition: DataSec Auditor for Exchange: Free Community Edition,15
235,2020-03-10,Launch In-Browser Demo: DataSec Classification for Dell Data Storage,15
236,2020-10-04,White Paper: A Practical Guide to GDPR Compliance,2
236,2020-10-08,Launch In-Browser Demo: DataSec Auditor for Windows File Servers,15
236,2020-10-20,Launch In-Browser Demo: DataSec Classification for Nutanix Files,15
237,2020-06-07,Free Trial: DataSec Classification for Synology,40
238,2020-11-16,White Paper: HIPAA Compliance for IT Auditors,2
238,2020-11-22,Ebook: Privileged Access Management Fundamentals,2
238,2020-11-29,DataSec Account Lockout Examiner,8
239,2020-06-25,Launch In-Browser Demo: DataSec Classification for Qumulo,15
239,2020-07-06,Webinar Registration: World Password Day: You Still Have Passwords. Now What?,5
240,2020-12-08,White Paper: HIPAA Compliance for IT Auditors,2
240,2020-12-14,DataSec Service Monitor,8
241,2021-01-22,Request a Quote: DataSec Auditor for SQL Server,40
241,2021-01-27,Ebook: Defending Against Crypto-Ransomware,2
242,2020-06-20,"Webinar Attendance: Ransomware Unmasked: Detection, Response, and Resilience",10
243,2020-12-15,DataSec Event Log Manager,8
243,2020-12-25,Free Trial: DataSec Classification for Synology,40
244,2021-05-17,Webinar Registration: Active Directory Recommended Practices: Detecting and Remediating Unwanted Persistence,5
244,2021-05-18,Request a Quote: DataSec Classification for SharePoint,40
244,2021-06-05,Request a Quote: DataSec Classification for Dell Data Storage,40
245,2021-05-22,DataSec Bulk Password Reset,8
245,2021-06-02,White Paper: Insider Threat Detection Fundamentals,2
246,2020-12-24,White Paper: A Practical Guide to GDPR Compliance,2
246,2020-12-28,Free Community Edition: DataSec Auditor for Windows File Servers: Free Community Edition,15
247,2020-03-17,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
248,2020-03-04,Launch In-Browser Demo: DataSec Classification for Azure Files,15
249,2020-07-26,Free Community Edition: DataSec Auditor for SharePoint: Free Community Edition,15
250,2021-03-01,Launch In-Browser Demo: DataSec Auditor for Microsoft 365,15
251,2020-11-16,Free Community Edition: DataSec Auditor for Windows Server: Free Community Edition,15
251,2020-12-05,Ebook: Windows Server Hardening Guide,2
252,2020-04-21,Launch In-Browser Demo: DataSec Auditor for Windows Server,15
253,2020-05-08,Request a Quote: DataSec Classification for NetApp,40
254,2021-06-21,DataSec Effective Permissions Reporting Tool,8
254,2021-06-27,Request a Quote: DataSec Classification for Dell Data Storage,40
255,2021-03-08,DataSec Event Log Manager,8
255,2021-03-09,"Webinar Registration: Ransomware Unmasked: Tactics, Entry Points, and Real-World Lessons",5
256,2020-12-13,Request a Quote: DataSec Auditor for Microsoft 365,40
257,2021-03-05,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
258,2020-03-18,Launch In-Browser Demo: DataSec Auditor for Active Directory,15
259,2020-10-04,Request a Quote: DataSec Auditor for Windows File Servers,40
259,2020-10-09,Webinar Registration: Get on Top of Active Directory Certificate Services and Stay There,5
